,battery_bid_fcas_power,battery_bid_fcas_price,battery_bid_fcas_type,fcas_cleared_power,battery_bid_energy_power_gen,battery_bid_energy_power_load,battery_bid_energy_price,battery_bid_energy_type,fcas_clearing_price,energy_price,raise_demand,raise_price,soe,timestamp
110,1.2663161814811603e-08,41.55,gen,-6.072687392267713e-05,-0.0001342641253961725,0,79.55,gen,63.0,79.55,41.55,18.02485,0.00013435725160080387,2018-06-03 11:30:00
111,9.075550834353226e-08,45.0,gen,3.349125843566679e-05,0,129.00001104481785,78.19,load,63.0,78.19,45.0,18.89,0,2018-06-03 12:00:00
112,3.3458099529003677e-08,44.47,gen,0.00020086846082536435,0,299.99998482482675,77.98,load,63.0,77.98,44.47,17.5,129.0000445360763,2018-06-03 12:30:00
113,9.481771154825461e-08,42.33,gen,0.00019361700032518642,0,299.99997533354605,70.44,load,63.0,70.44,42.33,14.49,429.00023022936386,2018-06-03 13:00:00
114,2.0723014763572834e-07,42.78,gen,-0.00013514162936545117,0,299.9995997615763,75.15,load,63.0,75.15,42.78,14.170010000000001,729.0003991799102,2018-06-03 13:30:00
115,2.175123373965564e-07,46.86,gen,2.2262936950123747e-05,0,7.407718658317904e-05,80.7,load,63.0,80.7,46.86,20.59,1028.9998637998572,2018-06-03 14:00:00
116,1.6770874033887747e-07,45.0,gen,3.3452778341903507e-05,-299.99997424344195,0,81.03,gen,63.0,81.03,45.0,20.81636,1028.9999601399807,2018-06-03 14:30:00
117,4.220114829615969e-08,43.59,gen,2.1175460952494114e-05,0,299.99998065961455,79.75,load,63.0,79.75,43.59,18.99,729.000019349317,2018-06-03 15:00:00
118,2.3807080487838066e-08,50.33,gen,-9.649500201696785e-05,0,8.596149359278486e-08,82.37,load,63.0,82.37,50.33,20.868479999999998,1029,2018-06-03 15:30:00
119,1.2164781083197558e-08,77.67,gen,-0.0002493381018598057,0,9.594934317117806e-05,90.93,load,70.0,90.93,77.67,30.0,1028.9999035909595,2018-06-03 16:00:00
120,-7.067614294427145e-08,81.0,gen,-0.0001561832614002505,0,0.000248285783996455,100.08,load,70.0,100.08,81.0,30.0,1028.9997502022009,2018-06-03 16:30:00
121,8.651710242547432e-09,81.0,gen,-0.00015622292657832288,-299.9999999979691,0,190.63,gen,70.0,190.63,81.0,30.0,1028.9998423047234,2018-06-03 17:00:00
122,4.108149914382039e-08,59.5,gen,0.0002739740037375212,-299.99999979450774,0,177.79,gen,63.0,177.79,59.5,48.0,728.9996860838278,2018-06-03 17:30:00
123,4.253372795609068e-08,58.67,gen,0.0002664894362904629,-300.00000007525676,0,213.51,gen,63.0,213.51,58.67,61.82303,428.99996026332377,2018-06-03 18:00:00
124,2.988227934711391e-08,58.65,gen,0.0002719790940479982,-129.00022657073092,0,155.62,gen,63.0,155.62,58.65,30.0,129.0002266775033,2018-06-03 18:30:00
125,1.1449317843408499e-08,59.17,gen,0.00019833006106897654,-0.0002719533790554877,0,148.4,gen,63.0,148.4,59.17,30.0,0.00027208586641336296,2018-06-03 19:00:00
126,2.8503327675156606e-07,61.0,gen,-1.3415791874418276e-07,0,299.9999045942881,113.32,load,63.0,113.32,61.0,30.0,0.0001984625484268518,2018-06-03 19:30:00
127,2.9655578113116136e-07,61.0,gen,-1.395803323481346e-07,-2.449923363449219e-06,0,114.22,gen,63.0,114.22,61.0,30.0,300.00010292267865,2018-06-03 20:00:00
128,3.185961595276925e-07,60.33,gen,0.0002754599664863654,-300.0000947229325,0,136.46,gen,63.0,136.46,60.33,30.0,300.00010033317494,2018-06-03 20:30:00
129,6.902833165956285e-09,61.0,gen,-3.272065373480626e-09,-0.0002810216462013837,0,104.5,gen,63.0,104.5,61.0,15.54,0.00028107020892775836,2018-06-03 21:00:00
130,5.502960867554078e-09,61.0,gen,-2.6133030211120482e-09,-1.964517952010873e-08,0,102.09,gen,63.0,102.09,61.0,18.89,4.5290661001185124e-08,2018-06-03 21:30:00
131,5.811983272810112e-09,61.0,gen,-2.758692982640675e-09,-2.303217546065872e-08,0,96.63,gen,63.0,96.63,61.0,18.44022,2.303217845996435e-08,2018-06-03 22:00:00
132,4.639847335377581e-08,61.79,gen,-0.0002023104810078472,-2.1946736616812222e-07,0,93.6,gen,70.0,93.6,61.79,18.89,0,2018-06-03 22:30:00
133,3.6474499485142718e-09,61.56,gen,-9.993428251158017e-05,0,299.99999997082466,86.49,load,70.0,86.49,61.56,15.76545,0,2018-06-03 23:00:00
134,1.874392492872081e-07,61.0,gen,-8.823098908937401e-08,0,299.999998806527,89.22,load,63.0,89.22,61.0,12.66458,299.99990003654216,2018-06-03 23:30:00
135,3.37901142161204e-08,61.43,gen,-0.00019925831672667108,-299.9999936180694,0,97.79,gen,70.0,97.79,61.43,11.99,599.9998987548381,2018-06-04
136,1.4316943283788031e-07,61.0,gen,-6.73980004760639e-08,0,300.0000059062283,89.96,load,63.0,89.96,61.0,10.79,299.99970587845195,2018-06-04 00:30:00
137,9.935578755823083e-09,61.0,gen,-4.699233521700214e-09,-299.9999995466052,0,92.28,gen,63.0,92.28,61.0,13.37,599.9997117172823,2018-06-04 01:00:00
138,-1.8346824408072594e-07,61.0,gen,8.631498413597048e-08,-9.596249784848432e-08,0,90.92,gen,63.0,90.92,61.0,14.30826,299.9997121659778,2018-06-04 01:30:00
139,-1.933341131814274e-07,41.0,gen,-3.647520767445232e-05,-299.9997146195742,0,110.06,gen,63.0,110.06,41.0,27.36,299.9997121563303,2018-06-04 02:00:00
140,7.865774084058203e-09,59.72,gen,5.3464439836617826e-05,0,299.99999977531087,89.47,load,63.0,89.47,59.72,24.646910000000002,0,2018-06-04 02:30:00
141,8.958329726139e-09,57.91,gen,3.5986023900346685e-05,0,299.9999998873558,87.68,load,63.0,87.68,57.91,20.59,300.0000532397507,2018-06-04 03:00:00
142,6.672177304717915e-09,48.51,gen,0.00010678530757349128,0,128.9999106162573,90.39,load,63.0,90.39,48.51,18.85,600.0000891131303,2018-06-04 03:30:00
143,1.1181255001739941e-07,41.0,gen,-3.662778073554866e-05,0,299.99989379991445,88.55,load,63.0,88.55,41.0,18.85,729.0001065146952,2018-06-04 04:00:00
144,-2.6231649316773224e-07,41.0,gen,-3.644071663393627e-05,0,3.147152810400688e-05,91.67,load,63.0,91.67,41.0,25.81,1028.9999636868288,2018-06-04 04:30:00
145,3.020355719247301e-09,41.0,gen,-3.6573384852205467e-05,-299.99998424315015,0,129.12,gen,63.0,129.12,41.0,25.81,1028.9999587176403,2018-06-04 05:00:00
146,-1.1773650326955062e-07,60.28,gen,-9.800424073002728e-06,0,300.0000613964235,89.1,load,63.0,89.1,60.28,24.97,728.9999379011053,2018-06-04 05:30:00
147,-1.8711552716229537e-07,67.67,gen,-8.182901666528393e-05,0,4.457561122869621e-06,97.01,load,70.0,97.01,67.67,30.0,1028.9999894971047,2018-06-04 06:00:00
148,-7.677341719788213e-09,81.0,gen,-0.00015621476168200448,0,8.682954966764868e-05,176.51,load,70.0,176.51,81.0,30.0,1028.9999121256492,2018-06-04 06:30:00
149,7.325301979900585e-09,81.0,gen,-0.00015622226285253251,-299.99999993198634,0,308.3,gen,70.0,308.3,81.0,45.99,1028.999842740437,2018-06-04 07:00:00
150,4.865280436813135e-09,73.48,gen,-0.00031722134303638913,-299.9999999517157,0,208.9,gen,70.0,208.9,73.48,70.0,728.9996865861879,2018-06-04 07:30:00
151,1.0189980379738377e-09,60.0,gen,-2.9802364382783817e-05,-300.0000000037144,0,252.29,gen,63.0,252.29,60.0,50.62161,428.9993694131291,2018-06-04 08:00:00
152,2.269719018285936e-09,59.27,gen,0.00019471507852593189,-128.99933963791267,0,194.66,gen,63.0,194.66,59.27,24.76367,128.99933960705033,2018-06-04 08:30:00
153,2.184186091673901e-07,61.0,gen,-1.0280962259570151e-07,0,299.999904647545,121.71,load,63.0,121.71,61.0,22.48284,0.00019468421618284992,2018-06-04 09:00:00
154,2.241436913875532e-07,59.99,gen,-0.0002396192764642953,-300.00009727431603,0,153.64,gen,63.0,153.64,59.99,23.265,300.00009922895157,2018-06-04 09:30:00
