,b_fcas_power,b_fcas_price,b_fcas_type,b_fcas_actor_power,b_fcas_actor_price,b_en_actor_power,b_en_power_gen,b_en_power_load,b_en_price,b_en_type,b_fcas_cleared_power,fcas_clearing_price,en_price,r,current_state_value,next_state_value,fcas_demand,soe,timestamp,k,delta
6067,10.339256,45.577763,gen,9.705396,43.52256,0.68734264,0,1.0805594,116.39,load,-10.339230446568822,63.0,116.39,298.34878630729685,,,44.36,335.3562584414895,2018-10-05 14:00:00,1.0000000000000007,
6068,15.061937,51.89728,gen,15.323982,53.489517,26.07299,0,26.064213,88.47,load,-10.000504705245756,51.897281646728516,88.47,-1838.8017979661076,,,41.0,326.0975873678226,2018-10-05 14:30:00,1.0000000000000007,
6069,17.111914,46.94851,gen,16.090954,47.92228,17.268515,0,16.373222,92.9,load,-10.000600430032275,46.948509216308594,92.9,-1098.510403102604,,,41.0,342.1612954616491,2018-10-05 15:00:00,1.0000000000000007,
6070,17.802158,49.10087,gen,18.014696,47.985283,17.830326,0,18.321865,83.19,load,-9.999176050590467,49.100868225097656,83.19,-1082.324553096234,,,41.0,348.5339173826911,2018-10-05 15:30:00,1.0000000000000007,
6071,15.526733,48.18555,gen,16.171715,47.318813,13.5218115,0,15.708785,100.6,load,-9.999002794940555,48.185550689697266,100.6,-1146.6770663211983,,,41.0,356.85660641388773,2018-10-05 16:00:00,1.0000000000000007,
6072,19.124683,50.642513,gen,19.320063,50.37845,19.977585,0,20.550877,84.02,load,-10.001009773479247,50.642513275146484,84.02,-1270.8560102001431,,,41.0,362.56638867601504,2018-10-05 16:30:00,1.0000000000000007,
6073,24.798204,53.289497,gen,24.88279,51.573208,32.42327,0,31.846972,70.5,load,-9.999209789547203,53.28949737548828,70.5,-1765.6439141314486,,,41.0,373.1162555199674,2018-10-05 17:00:00,1.0000000000000007,
6074,22.364424,51.902916,gen,20.499819,52.65435,22.360626,0,22.853075,104.88,load,-22.364381230156845,63.0,104.88,-1352.1315694519014,,,58.02,394.96401724226104,2018-10-05 17:30:00,1.0000000000000007,
6075,9.372131,61.864426,gen,9.137598,62.372215,10.197421,0,9.341797,154.84,load,-9.372835460452734,70.0,154.84,-924.6232538219888,,,97.33,395.45271103957003,2018-10-05 18:00:00,1.0000000000000007,
6076,6.6866956,67.8587,gen,6.5620117,67.9522,9.264378,0,8.975438,159.66,load,-6.687392612352534,70.0,159.66,-1024.60043601229,,,88.19,395.4216724541173,2018-10-05 18:30:00,1.0000000000000007,
6077,1.907040081405853e-09,70.93000030517578,gen,5.3999434,62.32389,-30.37901,-31.420013,0,261.82,gen,0.00022348150465810847,70.0,261.82,8226.387915649413,,,70.93,397.7097179597457,2018-10-05 19:00:00,1.0000000000000007,
6078,4.2717,79.39385,gen,3.7804732,79.80955,10.15406,0,10.966239,146.22,load,-0.000155249540020743,70.0,146.22,-1603.4834630012513,,,80.65,366.289928013516,2018-10-05 19:30:00,1.0000000000000007,
6079,15.5550585,70.34968,gen,15.75516,72.09142,35.61533,0,35.27867,116.77,load,0.00014050659000220257,70.0,116.77,-4119.490443572998,,,96.0,377.2560117395009,2018-10-05 20:00:00,1.0000000000000007,
6080,18.424267,67.69319,gen,20.001324,69.28355,36.35783,0,35.319637,120.17,load,-18.424418412925363,70.0,120.17,-3121.8738981891765,,,86.32,412.53482351073933,2018-10-05 20:30:00,1.0000000000000007,
6081,22.910202,71.56576,gen,21.934227,71.94326,39.273315,0,37.789246,118.21,load,-0.0008621286508591592,70.0,118.21,-4467.066723022461,,,92.73,429.43004239639794,2018-10-05 21:00:00,1.0000000000000007,
6082,25.233063,74.18235,gen,24.194426,73.43031,37.615063,0,36.484997,123.42,load,-0.0007632063073295242,70.0,123.42,-4502.978304519654,,,94.38,467.21842587321584,2018-10-05 21:30:00,1.0000000000000007,
6083,29.360537,72.19449,gen,28.23173,72.941376,37.271645,0,37.195526,118.4,load,0.000307334614229458,70.0,118.4,-4403.950292968751,,,76.0,503.7026594625628,2018-10-05 22:00:00,1.0000000000000007,
6084,25.492043,75.58356,gen,26.675327,75.52161,29.642262,0,29.680296,141.57,load,0.0006902897156356368,70.0,141.57,-4201.8394968223565,,,93.78,540.8984929202239,2018-10-05 22:30:00,1.0000000000000007,
6085,38.00264,76.221725,gen,36.48223,76.511215,41.60171,0,42.28822,100.35,load,0.0005197414874608768,70.0,100.35,-4243.622821998596,,,63.0,570.5794791541534,2018-10-05 23:00:00,1.0000000000000007,
6086,32.977306,73.18026,gen,33.43007,74.52421,28.477785,0,29.29194,142.23,load,0.0001569802659113786,70.0,142.23,-4166.192724208831,,,80.41,612.8682183475452,2018-10-05 23:30:00,1.0000000000000007,
6087,12.506295,56.50278,gen,12.985049,57.401344,-43.178116,-42.800343,0,160.33,gen,-12.505487902906346,70.0,160.33,7498.114281499038,,,80.59,642.160316016898,2018-10-06,1.0000000000000007,
6088,14.109982,58.937027,gen,14.25617,59.431618,-28.442617,-28.87221,0,130.98,gen,-14.110750082239557,70.0,130.98,4530.163099164734,,,78.59,586.8544855541772,2018-10-06 00:30:00,1.0000000000000007,
6089,19.487207,53.940235,gen,19.807177,55.26946,-10.072748,-8.848138,0,100.26,gen,-19.486781361466633,63.0,100.26,1833.12371324263,,,61.82,543.8715259229875,2018-10-06 01:00:00,1.0000000000000007,
6090,14.049415,45.671703,gen,13.048708,47.00343,-25.044353,-25.154558,0,128.83,gen,-14.049402158019163,63.0,128.83,3818.155845257944,,,56.12,515.5366067059911,2018-10-06 01:30:00,1.0000000000000007,
6091,2.4066608261819056e-08,61.0,gen,4.924071,44.41821,-60.14193,-59.93666,0,207.37,gen,-1.1349192238310686e-08,63.0,207.37,12429.0654296875,,,61.0,476.3326463662092,2018-10-06 02:00:00,1.0000000000000007,
6092,4.769519,57.79295,gen,4.4475646,56.402725,-22.302094,-23.464397,0,111.87,gen,-4.76913229040824,63.0,111.87,2873.0221407552563,,,47.67,416.39598558825844,2018-10-06 02:30:00,1.0000000000000007,
6093,15.456644,46.13024,gen,14.337738,46.441597,3.2849586,0,3.7057538,80.87,load,-10.000644990384194,46.13024139404297,80.87,115.51464068321025,,,41.0,388.16245586743025,2018-10-06 03:00:00,1.0000000000000007,
6094,14.260897,39.8039,gen,15.168507,38.61939,-4.912037,-4.898158,0,73.41,gen,-9.998939782617526,39.80390167236328,73.41,717.7709185118213,,,41.0,381.8675646802992,2018-10-06 03:30:00,1.0000000000000007,
6095,14.721432,36.830803,gen,14.770139,36.118675,-6.4050007,-6.0687814,0,69.88,gen,-10.000523227737231,36.83080291748047,69.88,755.5810126120725,,,41.0,366.9704668242564,2018-10-06 04:00:00,1.0000000000000007,
6096,14.628968,35.388275,gen,13.538634,34.800125,-7.1470995,-5.5868607,0,71.34,gen,-10.000516755190443,35.388275146484375,71.34,717.0775739374449,,,41.0,350.90116222063415,2018-10-06 04:30:00,1.0000000000000007,
6097,10.502205,35.10869,gen,11.959911,34.347233,-7.7242208,-8.843646,0,74.09,gen,-10.002609923997445,35.10868835449219,74.09,971.2863989052782,,,41.0,335.3137848087054,2018-10-06 05:00:00,1.0000000000000007,
6098,9.233994,35.04686,gen,9.017087,33.884632,-10.044484,-8.440773,0,82.39,gen,-9.233592353947099,63.0,82.39,986.6828628374909,,,41.0,316.46752883520844,2018-10-06 05:30:00,1.0000000000000007,
6099,10.520748,44.639145,gen,11.0368395,43.87977,17.064716,0,14.997999,85.54,load,-9.998474253276264,44.63914489746094,85.54,-881.2378439714703,,,41.0,298.79316347100746,2018-10-06 06:00:00,1.0000000000000007,
6100,2.9717414,37.396183,gen,3.1467474,37.66573,-12.542615,-12.011108,0,111.44,gen,-2.972133303923366,63.0,111.44,1438.5497167996207,,,47.67,303.7926884090154,2018-10-06 06:30:00,1.0000000000000007,
6101,11.730372,46.893353,gen,10.559417,47.440166,19.4905,0,19.19294,78.57,load,-9.997400902843998,46.89335250854492,78.57,-1086.0587965740142,,,41.0,288.8094467066545,2018-10-06 07:00:00,1.0000000000000007,
6102,12.635831,42.029484,gen,12.719931,40.26697,11.868415,0,10.319654,72.04,load,-10.00031842856428,42.029483795166016,72.04,-365.15050843269165,,,41.0,298.0049855621113,2018-10-06 07:30:00,1.0000000000000007,
6103,11.856821,37.923786,gen,12.0202465,38.27784,7.4739146,0,9.77991,75.89,load,-10.002492303396416,37.92378616333008,75.89,-400.7982352539352,,,41.0,298.3243215982687,2018-10-06 08:00:00,1.0000000000000007,
6104,9.908285,39.39987,gen,10.069667,37.224182,1.0438992,0,0.6878026,82.85,load,-9.908269593841332,63.0,82.85,294.36165034590476,,,41.0,298.1017393824577,2018-10-06 08:30:00,1.0000000000000007,
6105,15.255316,45.306557,gen,13.104923,46.638798,26.917006,0,28.300493,82.64,load,-10.000660439258139,45.306556701660156,82.64,-1930.966821062288,,,41.0,288.8812724013979,2018-10-06 09:00:00,1.0000000000000007,
6106,2.54912,42.20736,gen,1.8040724,42.400547,-9.787438,-10.04069,0,130.06,gen,-2.549696096400453,70.0,130.06,1402.746541646846,,,66.55,307.1811052024962,2018-10-06 09:30:00,1.0000000000000007,
6107,4.7525525,50.740208,gen,6.1069226,52.516582,16.330198,0,14.963883,110.75,load,-4.752149057115794,63.0,110.75,-1440.2375595037156,,,43.21,294.59071868403765,2018-10-06 10:00:00,1.0000000000000007,
6108,11.377899,49.29089,gen,9.43074,49.378304,16.686169,0,16.159306,100.52,load,-10.003281364470741,49.290889739990234,100.52,-1180.569821251878,,,41.0,304.80245302688525,2018-10-06 10:30:00,1.0000000000000007,
6109,9.825194,45.02302,gen,10.581621,44.92127,9.182578,0,9.507269,91.87,load,-9.825064958579915,63.0,91.87,-475.3140928281692,,,41.0,310.95847723492426,2018-10-06 11:00:00,1.0000000000000007,
6110,16.061384,48.063694,gen,14.170708,49.386402,26.308056,0,25.31556,87.76,load,-9.998984697390327,48.06369400024414,87.76,-1789.1641650936458,,,41.0,310.640681181984,2018-10-06 11:30:00,1.0000000000000007,
6111,13.215597,45.961197,gen,15.329688,45.28919,16.259642,0,15.618685,79.57,load,-9.996938358703026,45.96119689941406,79.57,-829.2546199775198,,,41.0,325.9572558718007,2018-10-06 12:00:00,1.0000000000000007,
6112,16.856565,45.425922,gen,16.156384,44.46772,16.067968,0,15.797382,80.57,load,-10.000657791635895,45.42592239379883,80.57,-863.9349020642933,,,41.0,331.5790022817745,2018-10-06 12:30:00,1.0000000000000007,
6113,19.13261,46.28897,gen,18.052757,45.427452,19.438295,0,19.735369,74.75,load,-10.000643413479217,46.288970947265625,74.75,-1058.5912692872153,,,41.0,337.3757268448749,2018-10-06 13:00:00,1.0000000000000007,
6114,20.61629,45.276802,gen,19.862034,46.0804,22.651424,0,22.142975,73.88,load,-10.000661117370147,45.27680206298828,73.88,-1228.404823658562,,,41.0,347.1104521600334,2018-10-06 13:30:00,1.0000000000000007,
6115,18.430779,46.902225,gen,18.653677,45.716045,17.255886,0,17.907688,84.96,load,-10.000603774345969,46.902225494384766,84.96,-1099.291668474309,,,41.0,359.25276589617886,2018-10-06 14:00:00,1.0000000000000007,
6116,19.851309,50.22098,gen,18.484499,50.178017,19.633352,0,20.35114,87.86,load,-19.851448710159378,63.0,87.86,-890.787762239385,,,55.17,367.15985026270204,2018-10-06 14:30:00,1.0000000000000007,
6117,1.484584259969779e-07,66.01000213623047,gen,2.1015913,50.348118,-17.187462,-17.406595,0,195.32,gen,-7.776435033807488e-05,70.0,195.32,3399.86083984375,,,66.01,367.65954062114616,2018-10-06 15:00:00,1.0000000000000007,
6118,15.942722,66.10685,gen,14.417769,67.660164,31.537165,0,31.43969,86.87,load,0.00027215359039641635,63.0,86.87,-2731.165838699341,,,52.26,350.2528676266933,2018-10-06 15:30:00,1.0000000000000007,
